form,office,min_time,max_time
I-102,CSC,3.5,9.5
I-102,NBC,3.5,9.5
I-102,NSC,3.5,9.5
I-102,SSC,3.5,9.5
I-102,ESC,3.5,9.5
I-485,CSC,6,46
I-485,NSC,9.5,19
I-485,SSC,15,41
I-485,ESC,11.5,17.5
I-485,AGA,11,22
I-485,ALB,11,22
I-485,ABQ,11,22
I-485,ANC,11,22
I-485,ATL,11.5,18.5
I-485,BAL,11.5,33
I-485,BOI,11,22
I-485,BOS,7,21.5
I-485,BNY,20,22
I-485,BUF,12,21.5
I-485,CHL,9,30
I-485,CHA,11,22
I-485,CLT,7.5,19.5
I-485,CHI,10.5,30
I-485,CHR,11,22
I-485,CIN,11,22
I-485,CLE,11,22
I-485,CLM,11,22
I-485,DAL,17,22
I-485,DEN,7.5,24.5
I-485,DSM,11,22
I-485,DET,8,18
I-485,ELP,6.5,17.5
I-485,OFM,16.5,21.5
I-485,FSA,11,22
I-485,FRE,8,17.5
I-485,GRR,11,22
I-485,HLG,7,23
I-485,HAR,10.5,21.5
I-485,HEL,11,22
I-485,HIA,12,21
I-485,HHW,11,22
I-485,HOU,17.5,27.5
I-485,IMP,11,22
I-485,INP,9.5,19.5
I-485,JAC,8.5,18.5
I-485,KAN,7.5,24.5
I-485,KND,12,18.5
I-485,LVG,13.5,19.5
I-485,LAW,7,17.5
I-485,LNY,9,28.5
I-485,LOS,11,19.5
I-485,LAC,12,18.5
I-485,LOU,11,22
I-485,MAN,11,22
I-485,MEM,11,22
I-485,MIA,11,22
I-485,MIL,10.5,24
I-485,SPM,15.5,30
I-485,MGA,8.5,23.5
I-485,MTL,9,17
I-485,NTN,10,18.5
I-485,NEW,10.5,23
I-485,NOL,10,19.5
I-485,NYC,20,29.5
I-485,NOR,10.5,22.5
I-485,OKL,21,24
I-485,OKC,14,19
I-485,OMA,11,22
I-485,ORL,11,18.5
I-485,PHI,12,23.5
I-485,PHO,20,22
I-485,PIT,6.5,22
I-485,POM,11,22
I-485,POO,8,19
I-485,PRO,11,22
I-485,QNS,8.5,23
I-485,RAL,7.5,23
I-485,REN,11,22
I-485,SAC,9,18
I-485,STA,11,22
I-485,STL,8,20
I-485,SLC,11,22
I-485,SNA,7,17.5
I-485,SBD,6,16.5
I-485,SND,7.5,18
I-485,SFV,17,27.5
I-485,SFR,19,20.5
I-485,SNJ,9.5,20
I-485,SAJ,11,22
I-485,SAA,13.5,22
I-485,SEA,16.5,21.5
I-485,SPO,11,22
I-485,TAM,10,22
I-485,TUC,8,17
I-485,WAS,8,19.5
I-485,WPB,8.5,18.5
I-485,WIC,11,22
I-485,YAK,11,22
I-751,CSC,14,19
I-751,NSC,15.5,24
I-751,YSC,12.5,13.5
I-751,SSC,16,18.5
I-751,ESC,15,19.5
I-751,FOD,23,45
I-817,NBC,12.5,27
I-817,SSC,12.5,27
I-824,CSC,8.5,12.5
I-824,NBC,8.5,12.5
I-824,NSC,8.5,12.5
I-824,SSC,8.5,12.5
I-824,ESC,8.5,12.5
I-90,YSC,4.5,12
I-914,ESC,18,26.5
N-400,AGA,10.5,19.5
N-400,ALB,10.5,19.5
N-400,ABQ,5.5,13
N-400,ANC,10.5,19.5
N-400,ATL,12,14
N-400,BAL,12.5,22
N-400,BOI,10.5,19.5
N-400,BOS,5.5,15
N-400,BNY,13.5,20.5
N-400,BUF,5,12
N-400,CHL,3.5,15
N-400,CHA,10.5,19.5
N-400,CLT,8.5,12
N-400,CHI,8.5,18
N-400,CHR,10.5,19.5
N-400,CIN,4.5,10.5
N-400,CLE,3.5,11
N-400,CLM,5,13.5
N-400,DAL,13.5,22.5
N-400,DEN,9.5,20.5
N-400,DSM,11,13.5
N-400,DET,5.5,12.5
N-400,ELP,7.5,19.5
N-400,OFM,12.5,18
N-400,FSA,10.5,19.5
N-400,FRE,7,11
N-400,GRR,10.5,19.5
N-400,HLG,11.5,19.5
N-400,HAR,10,13
N-400,HEL,10.5,19.5
N-400,HIA,7,12.5
N-400,HHW,10.5,18.5
N-400,HOU,15.5,23.5
N-400,IMP,10.5,19.5
N-400,INP,6,11.5
N-400,JAC,5,15.5
N-400,KAN,6.5,12.5
N-400,KND,5.5,11
N-400,LVG,15.5,18.5
N-400,LAW,7.5,20
N-400,LNY,7,22.5
N-400,LOS,9.5,19.5
N-400,LAC,10.5,12.5
N-400,LOU,4.5,11
N-400,MAN,10.5,19.5
N-400,MEM,11,23.5
N-400,MIA,14,25
N-400,MIL,8,20.5
N-400,SPM,17.5,33
N-400,MGA,9.5,13.5
N-400,MTL,5.5,17.5
N-400,NTN,13,15
N-400,NEW,9,17
N-400,NOL,12.5,19.5
N-400,NYC,13,22.5
N-400,NOR,9.5,17
N-400,OKL,13,25
N-400,OKC,5.5,18.5
N-400,OMA,7,12
N-400,ORL,9.5,25.5
N-400,PHI,9.5,20.5
N-400,PHO,17,20.5
N-400,PIT,5,16
N-400,POM,10.5,19.5
N-400,POO,6,10.5
N-400,PRO,6,12
N-400,QNS,11,23
N-400,RAL,4,12
N-400,REN,10.5,19.5
N-400,SAC,9.5,13
N-400,STA,10.5,19.5
N-400,STL,10.5,19.5
N-400,SLC,14,21
N-400,SNA,10.5,18
N-400,SBD,6.5,10
N-400,SND,7,10.5
N-400,SFV,13.5,18
N-400,SFR,14,16
N-400,SNJ,11,13
N-400,SAJ,10.5,19.5
N-400,SAA,12,17.5
N-400,SEA,16,21
N-400,SPO,10.5,19.5
N-400,TAM,4.5,12
N-400,TUC,5.5,23
N-400,WAS,10,14
N-400,WPB,7.5,26
N-400,WIC,10.5,19.5
N-400,YAK,5,8.5
